user_name,date,rating,review_text
蕭吉良,2019年7月8日,5,太貴了，每月99元，換算每年1188元，比絕大多數的食譜書貴上好幾倍，建議降為一次收費或是每月9元。
李韋瑤,2019年7月7日,5,常有許多簡單易懂而且容易上手的料理說明，也有讓我想要嘗試的感覺，總之，我覺得它非常不錯。
陳佩華,2019年7月3日,4,方便，隨時可以找到適合自己的食譜
沈桓民,2019年7月9日,5,建議在app中的食譜也加上料理製作時間及幾人份
蔡艷足,2019年7月7日,5,想找的食譜幾乎都能順利找到，而且還是有幾種方法可以自行選擇，很棒，很實用
邱秀香,2019年7月6日,5,菜色多元，以使用本App很久，對廚藝提升與運用很有幫助！
Lee Martin,2019年7月7日,5,對於新手的我而言，這邊有太多前輩的經驗能分享，讓我好好慢慢的學習，謝謝。
aaa jk,2019年7月2日,1,更新後無法使用
Shelley Chen,2019年7月9日,5,有許多簡單易上手的料理，每天煮飯都可以有不同的變化
許維剛,2019年7月12日,5,很實用，也能根據自己的等級來選擇食譜，真是太方便了!
小粉圓,2019年7月7日,5,我覺得很好用 基本上想的到的食材、食譜都有！
陳宏威,2019年7月5日,5,很好可是我最喜歡美食
田湫蕙,2019年7月6日,5,料理進步很多 提供很多資訊 超棒
Candy Chen,2019年7月9日,5,做菜沒有這個app不行！
黃薰儀,2019年7月11日,5,很方便，有很多種類的食物分享，大推
劉琪惠,2019年7月10日,5,很好！！
i-尼克,2019年7月9日,5,很棒很好用的App.
蕭又菁,2019年7月6日,5,方便新手料理
蕭宇宏,2019年7月9日,5,好用又方便
Nir A,2019年7月8日,5,很實用的APP~
林翠呦,2019年7月8日,5,有很多食譜~大家分享的大平台🤭🤭
Rebecca Sin,2019年7月9日,5,食譜選擇多，步驟清楚，容易學。
阿帥,2019年7月12日,5,食譜齊全
小柏,2019年7月6日,5,不錯使用
黃蓓蓓,2019年7月5日,5,很棒
蘇郡翰,2019年7月8日,5,簡單好用
m ia,2019年7月9日,5,很方便
陳舜傑,2019年7月10日,5,我最愛
Tjhi Niko,2019年7月11日,5,簡單明瞭
李佩珊,2019年7月11日,5,不錯用
林博紳,2019年7月6日,5,讚不絕口
Tony Young,2019年7月6日,5,不錯的
翁惠姿,2019年7月8日,5,ok
蘇家陞,2019年7月9日,5,好用
Abel HU,2019年7月10日,5,讚
Cgan Cgan,2019年7月10日,5,好用
大鳥,2019年7月10日,5,很棒
Carol chiang,2019年6月30日,5,各種菜餚都可以查詢，真好用
美珍廖,2019年7月3日,4,"很有幫助的app,跟著做料理增加自信心"
Cynthia Hou,2019年7月7日,5,非常方便資訊豐富的平台
陳小吟,2019年6月30日,5,清冰箱的好app👍👍
Vivi Chen,2019年7月11日,5,讚
Alessa Chang,2019年6月26日,4,app本身很好，我對免費版會有廣告欄位也沒有任何異議，但最近出現的廣告都是誤導人下載後收取高額訂閱費的騙錢廣告，廣告欄位又佔位極大容易誤點，造成此app的使用者暴露在風險之中，令人遺憾
涼小悠,2019年7月3日,5,很好用 找食譜超方便 愛料理團隊也很用心 感謝迅速修復無法登入的bug
Anita Lam,2019年6月14日,5,對於一位連菜都不會洗的人來說，有了這個APP，真的很棒！突然收到某食材，都知道怎麼料理了！
Siou ying,2019年6月14日,5,非常實用！買了食材卻不知道可以煮什麼料理時候很方便😊
許秀斐,2019年6月11日,5,很棒的軟體喔！
芝吱知,2019年6月26日,5,好找！
徐芳玉,2019年6月11日,5,超讚，尤其對現在的廚房白癡使用者
怡君陳,2019年6月26日,5,感謝愛料理的所有朋友分享經驗~也謝謝愛料理這個APP
Ivy Chung,2019年6月25日,5,好用，輸入食材就能搜出很多菜色
shufen,2019年7月1日,5,可以學習的食譜超多又簡易
張小黑,2019年6月30日,5,很不錯 簡單明瞭 不複雜
洪嘉秀,2019年7月7日,4,沒想法上來逛逛很讚
Lin Kelly,2019年6月17日,5,很棒的料理食譜，可以找到想要做的料理，也可以跟著做，超方便、超實用
Liang Cath,2019年6月12日,5,好多食譜，買菜清單好用
朱淑珍,2019年6月30日,4,能學到料理
Lita Tong,2019年7月4日,4,很簡單好用
kt lululove,2019年6月9日,5,好多簡單料理美食，超級棒
ching-fang Lin,2019年7月2日,5,好用，好查，簡單就可以學很多料理
陳安麒,2019年6月23日,5,對於新手廚娘非常實用👍謝謝❣️
吳小八,2019年6月25日,5,好用，下廚採購必看
蔡翠芸,2019年6月16日,5,超級超級喜歡！
陳迎曦,2019年6月8日,5,很好用
張雅萍,2019年7月11日,5,很棒…很實用的APP
小萍莊,2019年6月28日,4,讚哦！
李漫妮,2019年7月3日,5,好用。會經常使用的App 😋
Sannia Wang,2019年6月16日,5,很讚的網站
Hung Ming Nien,2019年6月22日,5,很豐富的內容
Roy Lo,2019年6月22日,5,好用方便
潘大妮,2019年6月21日,5,很棒的美食app
Gary Chen,2019年6月27日,5,輕鬆容易學
arlen hsieh,2019年6月30日,5,料理好幫手
何惠美,2019年7月4日,4,無法打開app
劉淳祺,2019年6月18日,5,方便使用，使用輕鬆
盧玉美,2019年7月8日,4,good!
戴永慶,2019年7月1日,5,好用，方便
croco dile,2019年6月27日,5,很實用
李品惠,2019年6月16日,5,很實用
張淑齡,2019年6月18日,5,很實用
郭永賓,2019年6月20日,5,真讚
陳蓓綺,2019年7月5日,5,好用
李依晨,2019年6月12日,5,很好👌
許淑娟,2019年6月14日,5,🖒
愛唷威親子陪玩,2019年6月17日,5,實用
